id,id_str,full_text,decision
1355141184021213192,1355141184021213184,even minecraft reefs arenât safe from the threat of coral bleaching https://t.co/7p53Ror9Q5,desirability
1355118276444094466,1355118276444094464,"@ecogeog @martynsteiner &amp; we owe it to our children to separate atmospheric climate change, global warming (incl. ocean warming and associated sea level rise and acidification) from litter picking and plastic pollution. So pleased that so many are doing so much - even during these awful pandemic times.",buzz
1355100680671928321,1355100680671928320,"#CoralReefs need clean, clear ð§ to survive.

When sediment &amp; pollutants enter the ð they -
 â¬ï¸  Growth of damaging algae
 â¬ï¸  Water quality
 â  #Coral growth

BUT restoring nearby #mangroves can help!

Read more ð
https://t.co/Efow2vVBS0",enabling context
1355086730689273856,1355086730689273856,"I would encourage people to visit the following website to learn more about the #GreatBarrierReef and the challenges faced by conservationists.

https://t.co/Hage91D6wE",invitation
1355082660335374342,1355082660335374336,"Shelly is 100% correct.

The ongoing problem of coral bleaching is something that is largely due, directly or indirectly, to human activity.

1/ https://t.co/I2aHeGfNnx",enabling context
1355064566841962497,1355064566841962496,Wonderful to see cover of current  https://t.co/BC4JCtZoyT is cross-section of a sea anemone tentacle done by @CMCA_UWA. The âheat mapâ shows nitrogen concentrations in all the microbes inhabiting the anemone - &amp; helps us understand coral bleaching @UWAresearch https://t.co/NVlkKZosUE,enabling context
1355053049312653313,1355053049312653312,"(6/8)For example, ocean warming may exacerbate their effects in species with Mg-calcite shells, as Mg content generally increases with seawater temperature and thereby accelerates skeletal solubility.Our SO maps show this general pattern of increase of Mg toward lower latitudes. https://t.co/OtSfMjFLiB",enabling context
1355008939621036032,1355008939621036032,"We are UAQ-Reef!
VÃ­ctor Hugo HernÃ¡ndez EliÃ¡rraga
Co-founder

VÃ­ctor is a Ph.D. candidate at Autonomous University of Queretaro (UAQ, acronym in Spanish). He is interested in studying the coral bleaching phenomenon, which affects reef-forming cnidarians from the Hydrozoa class. https://t.co/HV8a8CMxTK",enabling context
1354997696856166403,1354997696856166400,Major discovery helps explain coral bleaching -- ScienceDaily https://t.co/GJWqq0k6ii,enabling context
1354984266216710146,1354984266216710144,"Get to know more about the latest Coral Restoration Foundation ad by IG_gswspeakpeople: Save Our Reefs, Save Ourselves https://t.co/2VesX13t2I",can do
1354959700865986575,1354959700865986560,Real talk. Do something! https://t.co/WSXnNtY2Mb,desirability
1354957674589380610,1354957674589380608,"Southern Ocean waters are warming faster than thought, threatening Antarctic ice via @washingtonpost https://t.co/UAURYxo6LQ 

#marineconservation #climatechange #ocean",desirability
1354930496401244161,1354930496401244160,"@lisk_feng @FlyingEyeBooks @ProfTerryHughes Terry, you're in the book! We featured your work surveying coral bleaching across the reef.",buzz
1354886747902119938,1354886747902119936,"This is why ocean health is so important &gt;&gt; ""Almost all of the extra heat we gain because of greenhouse gases ultimately ends up in the oceans. In fact, the oceans absorb more than 90% of the excess heat."" https://t.co/IOuMzxdZ9E",enabling context
1354875698373136385,1354875698373136384,"Octopus vulgaris the not so Common Octopus in Irish waters, few records to date. They have dramatically expanded their range northwards into the North Sea. I wouldn't be surprised if we will see more around Ireland with Ocean warming @BarnacleHunt @MarineInst https://t.co/kz5yvCcY8d",desirability
1354871522704277508,1354871522704277504,"@Cirebonpower_ @Mamit_Setiawan @dewanenergi @KementerianESDM Ocean warming will continue even if the global mean surface temperature can be stabilized at or below 2Â°C (target of Paris Agreement) in the 21st century, due to oceanâs long-term commitment. Therefore, both mitigation and adaption are both needed!! https://t.co/YvveSkHESO",enabling context
1354869245612412930,1354869245612412928,"Whether it's mass coral bleaching &amp; rapidly intensifying typhoons that wreaked havoc on my home Saipan or the wildfires that burned +1M acres here in Oregon, climate change doesn't discriminate.

No running. Just &amp; equitable action is the only solution.

https://t.co/TTMMqz8PEA",enabling context
1354851635902771201,1354851635902771200,"Took our students on a virtual field trip at Ripley's Aquarium! Had a great conversation about coral bleaching and protecting biodiversity
https://t.co/EnlGhxTWDM
@BHSS_Science @BillHogarthSS https://t.co/5lbKTCEZb5",buzz
1354846868841357312,1354846868841357312,"""Seychelles lost 90% of its coral reefs in 1998 not to overfishing but to coral bleaching, which is exacerbated by warming waters and climate change.""",enabling context
1354840540836220930,1354840540836220928,"Mangroves counteract #oceanacidification in adjacent tropical waters, as well as filter pollutants, absorb excess #nutrients from runoff, and trap sediments â all of which are contributors to coral bleaching, mortality, and reef structure damage. #WetTribe #TidetotheOcean #Coral https://t.co/lNyU3IXwan",enabling context
1354831310146035712,1354831310146035712,Research conducted at the DMC and @BigelowLab  by was recently published in Ecology and Evolution  https://t.co/ZergGORQD0,enabling context
1354819157317980168,1354819157317980160,New Research: Impacts of Acclimation in Warm-Low pH Conditions on the Physiology of the Sea Urchin Heliocidaris erythrogramma and Carryover Effects for Juvenile Offspring: Ocean warming (OW) and acidification (OA) affects nearly allâ¦ https://t.co/Z6KZeDUvZr #MarineScience,enabling context
1354817461397319684,1354817461397319680,Ocean temperatures rising can also impact coral reef fishes and tropical coral reefs. And is a contributing factor to coral bleaching which is caused by heatwaves.,enabling context
1354816329182662656,1354816329182662656,seeing a bunch of local fishermen on Facebook frothing at the mouth defending the oil companies while their own livelihoods are being destroyed by ocean warming is maddening and disheartening. The future of the fishing industry depends on environmental protection.,desirability
1354814057044295686,1354814057044295680,Dear Humans: It's funny how you will bail out large companies to keep them alive yet you watch the coral bleaching event happen with heavy pockets.  @AOC @elonmusk Let the young inherit the earth.,desirability
1354806038516514819,1354806038516514816,"Major discovery helps explain coral bleaching'
https://t.co/owbUuKC73Q via @ScienceDaily

'The process is triggered by warmer ocean temperatures ...'

#ClimateEmergency #NatureEmergency",enabling context
1354799833958076416,1354799833958076416,Impacts of hypoxic events surpass those of future ocean warming andÂ acidification https://t.co/727w4Q9FdG,enabling context
1354799572590227457,1354799572590227456,"Coral restoration - NFL Green and partners  restoring a football field-sized coral reef in Florida. Force Blue special ops veterans and scientists doing the underwater planting
@VerizonGreen @Oikos @CastrolUSA @floridaaquarium @TampaBayLV @forceblueteam #nflgreen https://t.co/2zAuXa59v1",buzz
1354780917756289027,1354780917756289024,"Im not sure how I have managed to top my record of worst piece of academic work ever but I have, never thought id top my 2014 coursework of fixing coral bleaching in the great barrier reef by blowing up hundreds of boats off the coast of Australia",buzz
1354727182069768194,1354727182069768192,Appalling interview with Laura Tingle and Will Stefan tonight. Hysteria doom and gloom. GBR just endured 3rd âmassive coral bleaching eventâ which is nonsense. Just wished people were more responsible with the truth,desirability
1354709520795230208,1354709520795230208,"I am particularly looking for articles, interviews, sources and videos detailing:

â¢ Global Warming
â¢ Coral Bleaching
â¢ Species Endangerment as a result of climate change
â¢ Loss of biodiversity
â¢ Info about greenhouse gases and their effects",enabling context
1354623637836472320,1354623637836472320,North Brisbaneâs night time temperatures continue to rise https://t.co/cIpRatKGe7,enabling context
1354623631633088512,1354623631633088512,Moreton Bay experiences more warm January nights than anywhere else in Brisbane https://t.co/9xzR3dFnai,desirability
1354623626553815040,1354623626553815040,Rising temperatures could affect your household budget in the years to come https://t.co/IGDjQrc4Zp,desirability
1354623624188203011,1354623624188203008,South Brisbaneâs summer climate continue to increase in temperature over time https://t.co/R9iLe3wIN4,desirability
1354619040673763331,1354619040673763328,"@taddow77 @atrupar Hurricanes grow in strength by absorbing heat from the ocean. By reducing our greenhouse gas emissions and slowing or maybe reversing ocean warming, yes, we will be paying for future hurricanes to stay out at sea.",enabling context
1354596816256462848,1354596816256462848,Sea otters are beginning to die in large numbers off the West Coast of the United States. The cause is an unusual form of poisoning connected with global heating of the oceans. https://t.co/5FLVMmdYKl https://t.co/7adSRwCFer,desirability
1354589257021710339,1354589257021710336,"The greatest quantities of ice lost were from floating sea ice, which is creating a positive feedback loop of increased ocean warming and further ice loss.
https://t.co/7yTMdhzhkF",enabling context
1354556395878670339,1354556395878670336,"@KHayhoe @AndrewDessler Moreover, if the early Holocene warming was initially a seasonal, not global, phenomenon, doesn't that further complicate Ruddiman's necessary argument that ocean warming feedbacks must have contributed a large part of the additional GHG needed?",desirability
1354550877919473664,1354550877919473664,"Major discovery reshapes our understanding of coral bleaching in @PNASNews https://t.co/Ux1amCqYnc 
Great work from Nils RÃ¤decker @reefgenomics @CloudyPogoreutz @hi_hagen @ajcardenasb @uts_c3 and others",buzz
1354534578849898508,1354534578849898496,Major discovery helps explain how warming water leads to coral bleaching https://t.co/ltnBpwVQFr,enabling context
1354522866243543041,1354522866243543040,"@hausfath @Oliver_Geden @ClimateEnvoy Given the summit topic, might it be ocean warming only?",desirability
1354522535677878272,1354522535677878272,Neoteric marine biology research reveals further insights into why coral bleaching occurs: chemical disturbance derives from the metabolic equilibrium between corals &amp; their symbiotic algae (absorb CO2  from corals &amp; provide nutrients for photosynthesis) which induce colouring https://t.co/4DM21b91DV,enabling context
1354521173313216512,1354521173313216512,"Tomorrow, our @rescueareef team is going to lead a coral restoration expedition to transplant 55 elkhorn corals, a threatened species, onto a local reef as part of our ""100 Yards of Hope"" @NFLGreen project and in recognition of Super Bowl 55 in @TampaBayLV ð

Life is wild ð¤¯",buzz
1354509576259969027,1354509576259969024,Jenna presents on coral bleaching at the SNHS meeting today. https://t.co/oColaUdQ8z,buzz
1354505037184176131,1354505037184176128,"Did you know? These emissions cause ocean warming, acidification and oxygen loss. Ocean heat is higher than ever, with 90% of excess heat from the climate absorbed into the water. Source: https://t.co/3nahkH6BxH
.
#GoGreen #GoSolar #SaveThePlanet #CleanWater #SaveTheOceans https://t.co/eoIs8eVFBy",desirability
1354504632425472014,1354504632425472000,"@SharkGuardian1 @SharkprojectD @isabeljarrett 
Too sad.
With ocean warming some sharks mature/incubate slower 
Sharks survived 400m years and in a nanosecond of world clock) we wipe them out. Even knowing this finning, shark fishing still permitted. We have to stop this NOW! ð¦ https://t.co/hiqwKXoTGu",desirability
1354463372197187587,1354463372197187584,"An @EPFL_en scientist has made a major breakthrough in the understanding of #coral #bleaching. âWe showed for the first time that the coral starts to suffer from hunger long before the algae are expelled."" An article published in @PNASNews.
https://t.co/a8t7YTbBlc",buzz
1354462943786754057,1354462943786754048,"Ocean warming affects marine species, ecosystems and the benefits humans derive from it. 

Our Issues Brief explains what we can do to protect our #ocean https://t.co/lrjHjQoIPd @IucnOcean https://t.co/PlePRizjsa",can do
1354456792382771205,1354456792382771200,"Ocean Warming and the Reefs of Palau on JSTOR
https://t.co/vGjW3m8afk",enabling context
1354449082228604932,1354449082228604928,"""The latest research showed that oceans hit their highest recorded temperatures, a record that keeps getting broken year after year."" ðð

But...why are the oceans so important?  
https://t.co/5pbFyIulqI

#ocean #globalwarming #risingtemperatures",desirability
1354446313832599556,1354446313832599552,Learn more about the @UNEP and ICRI report: Coral Reef Restoration as a Strategy to Improve Ecosystem Services: A Guide to Coral Restoration Methods. â¶ï¸Recording here: https://t.co/mHiem72xQE #reefresilience #generationrestoration #restoration #coral https://t.co/PQtGWmC9P5,invitation
1354436620586541056,1354436620586541056,"A reminder that climate change is not happening in some far-off land or distant future: it's happening close to home, and now. 

The implications of ocean warming on marine ecosystems, and by extension the fisheries that depend on them, are significant.
https://t.co/ENrpplrm4l",desirability
1354435191801081860,1354435191801081856,"The rise in sea surface temperatures is causing more severe hurricanes &amp; the intensification of El NiÃ±o events bringing droughts and floods.
https://t.co/8TxFhVAMav

This already is having significant socio-economic &amp; health effects in some regions of the world. 
#OceanWarmingNow",desirability
1354429768133992450,1354429768133992448,"@TravisIanPater2 @gmbutts Except that the predictions ARE happening. Ice melt is worse than projections. Ocean warming is right on track. Yes, science has no narrative, but your beliefs and your dismissal of science sure does. Open your mind. Look at the actual evidence.",desirability
1354383651404824579,1354383651404824576,The #coral nurseries in #Bonaire as part of a coral restoration programme. This is 6 months of progress! We can't wait to see how much they've grown since ðð https://t.co/qU9v3xPwlt,buzz
1354371285418209281,1354371285418209280,"A major breakthrough in the understanding of #CoralBleaching shows that it begins much earlier than previously thought, apparently resulting from a disturbance in the metabolic equilibrium between corals and their symbiotic algae. #GlobalWarming #Corals https://t.co/G605ZHMazN",desirability
1354361237140869120,1354361237140869120,"ð¨New #OpenAccess paper in @PNASNews on how 

âHeat stress destabilizes symbiotic nutrient cycling in coralsâ

by amazing Nils RÃ¤decker! 

Follow the thread by our co-author @hi_hagen for an excellent summary. Full paper: https://t.co/JhrSpDNAuA

#coral #bleaching #climatechange https://t.co/i9tzjNfKec",invitation
1354358678095331329,1354358678095331328,"@hausfath This is over three times the average ocean warming since the 1960's (1.24 vs 0.38 W/mÂ²). 

Do you think the 77% reduction in SOx emissions from shipping from 2020 could be causing further warming? Could available data be used for assessment? https://t.co/dIWA3u25cx",desirability
1354300719948419076,1354300719948419072,"Read about the devastating impacts of warming oceans on diatoms here. 

https://t.co/sbHaxwGzWI

Stay tuned to see how to reduce ocean warming and acidification to help protect diatoms and the fragile ocean food chain. Stay Positive!",invitation
1354277016363786246,1354277016363786240,"@larry79115 @Juzwik @Liberat67627787 @snaglet @KrVaSt @ClimVari @Tav_assoli @ClimateBen @MichaelBringsli @RealGeoEngWatch @iconickevin @GeraldKutney @JunagarhMedia @jim27182 @PaulEDawson @chrislibertynow @chriscartw83 @NumberLens

Great thread: study conducted of ocean warming. https://t.co/F46qfalZRm",buzz
1354259856782356481,1354259856782356480,"Coral bleaching - ""The roots of the problem are much deeper than we thought, and they involve an early breakdown of the metabolic exchanges in these fascinating organisms""

https://t.co/elw36Dd2Gt via @physorg_com",enabling context
1354223596080492547,1354223596080492544,"ð¥µ Almost all of the extra heat we gain because of greenhouse gases ultimately ends up in the #oceans. In fact, the oceans absorb more than 90% of the excess heat. 

If you want to understand #GlobalWarming, you have to measure ocean warming.

https://t.co/WhiyyOzI0p",can do
1354206343171874818,1354206343171874816,"Grade 2 unpacked our new unit on oceans by making their thinking visible.  They responded to some thought-provoking images about shark finning, bycatch &amp; coral bleaching.  #cisinspires #visiblethinkingroutines #jigsawing https://t.co/wtri1DLpto",buzz
1354197662980055040,1354197662980055040,Update and imagines from our coral restoration expedition last week as part of our @RestorationHub project ð https://t.co/Xg4WtFLHJ9,buzz
1354189048655572993,1354189048655572992,"A new study on #coral #bleaching: ""Heat stress destabilizes symbiotic nutrient cycling in corals"" - Nils RÃ¤decker et al. 2021

&gt;The breakdown of a metabolic exchange&lt;
#CoralReef #bleaching #nutrients #Balance #HeatWaves #ClimateCrisis #climatechange 

---&gt; https://t.co/xH0WYnLeWD https://t.co/HYrua1Ik72",buzz
1354185600551641089,1354185600551641088,"The #SouthernOcean is warming faster than thought!

https://t.co/4vycBlNP2Q",desirability
1354150781679616000,1354150781679616000,Ocean acidification can lead to coral bleaching witch also causes lots of our sea life who lives in coral to slowly die off https://t.co/HrNOpKmIpJ,desirability
1354142919058317313,1354142919058317312,"@SimonMaxfield8 @Climatehope2 @jwickers @Robert76907841 @quieroserabuela @Veritatis2021 @ejwwest @timoteo0167 @EcoSenseNow @OLDDYNAMITE @FChecker76 @jbonbon91 @DanCady @BointonGiles @EdBohman @KeillerDon @bobathon @MorseBart @Durant1899 @moonrakin @EDavidAn @TaroIstok @cosaingalway @wilburcobb8 @stockypig @canncr @WeiZhangAtmos @maxo531 @PygmalionXXVIII @PaulReadGB @RealLimerickMan that the loss of ice over years is another part of this.  As the area of arctic ice cover (summer and winter but mostly summer) diminishes the surface of the ocean that is absorbing energy increases, and I think this is also a significant part of ocean warming.",enabling context
1354134902493605889,1354134902493605888,"Todayâs ocean is 30 percent more acidic than it was before the industrial revolution. If we stop carbon emissions today, it will take over 10,000 years for it to be healthy again. https://t.co/Tu1AgFkfuO",enabling context
1354123227979800577,1354123227979800576,"""We expect to see heat records continue to be broken and weather to become more and more strange. And of course, there will be costs â in human lives and infrastructure.""

https://t.co/K8nolMgg95

#globalwarming #climatechange #environment #savetheplanet #nature #climate #Oceans",desirability
1354123084119171072,1354123084119171072,"Today I learned the basics of radiation, &amp; that apparently temperature is the only thing that matters in coral bleaching. Because ""his feeling"" is that it is so. Nevermind the decades of data about photoinhibition of the coral symbiosis ð",buzz
1354121367000641537,1354121367000641536,"Sad effect of ocean warming.

CBS News: Gray whales are starving and dying off at an alarming rate along the Pacific Coast.
https://t.co/jHIHzTx91i

via @GoogleNews",desirability
1354105425080283136,1354105425080283136,"âThe study also lends insight into why many of Greenland's glaciers never recovered after an abrupt ocean warming between 1998 and 2007, which caused an increase in ocean temperature by nearly 2 degrees Celsius.â https://t.co/AE0cld8lYA",enabling context
1354103320315617283,1354103320315617280,"Over the last decade we have seen a dramatic increase in the rate that #corals are dying. The worst #coralbleaching to date took place in 2016 at the #GreatBarrierReef in Australia. In just 2 years almost 67% of corals were killed! ð
Read more here: https://t.co/aKhHFgAfhu https://t.co/s7jjEd7eBQ",desirability
1354075700140134401,1354075700140134400,Coral reefs form a natural barrier against flooding. With 3D printed replicas of corals Marion Tissier researches how reefs exactly protect vulnerable coasts to ultimately design coral restoration programmes: https://t.co/fWwtz1CBpa #AdaptationSummit #ClimateAction @CASsummit2021 https://t.co/VnXMsUqqxl,buzz
1354054944899395585,1354054944899395584,"ITâS BAD
Extreme Heat - Ocean Warming and Acidification - Extreme Storms and Floodings - Melting Ice - Shifting Climate 
#climatecrisis #climatechange #WeAreOne 
https://t.co/hoAvd8iGfV https://t.co/rHcAVmEXDu",desirability
1354017092471668736,1354017092471668736,Why are ocean warming records so important? https://t.co/BkRAYXBnPn,enabling context
1354016016662024192,1354016016662024192,"Major discovery helps explain coral bleaching. ""Bleached corals do not necessarily die; their symbiotic algae population can be reestablished if the conditions around a reef return to normal."" If heat persists, pollution, the coral is too weak to survive. https://t.co/eVz0e4PGz0",enabling context
1353997222136963073,1353997222136963072,"Ocean warming effect - Ocean acidification is litmus test for the climate crisisâ effects at sea
#OceanWarmingNow
#OceanClimate 
https://t.co/QND9akzbaO",enabling context
1353990478862155777,1353990478862155776,"Establishing marine protected areasÂ andÂ putting in placeÂ adaptive measures,Â such as precautionary catch limits to prevent overfishing, can protect ocean ecosystems and shield humans from the effects of ocean warming.
#OceanWarmingNow

https://t.co/8TxFhVAMav",can do
1353985440970399744,1353985440970399744,"Achieving the mitigation targets set by the ParisAgreement on climatechange &amp;Â limiting the global avg. temp. Increase to well below 2Â°C above pre-industrial levelsÂ is crucial to prevent the massive impacts of ocean warming on marine ecosystems and their services.
@IUCN https://t.co/7Db9MySkn2",can do
1353981843918499840,1353981843918499840,"Rising ocean temperatures also affect the benefits humans derive from the ocean by...

â¡ï¸threatening food security
â¡ï¸increasing the prevalence of diseases and
â¡ï¸causing more extreme weather events and
â¡ï¸ the loss of coastal protection.

https://t.co/8TxFhVAMav",desirability
1353976796165906433,1353976796165906432,"Increasing ocean temperaturesÂ affect marine species and ecosystems. Rising temperatures cause coral bleaching and the loss of breeding grounds for marine fishes and mammals.
#OceanWarmingNow #OceanWarmingNow
#ClimateAction https://t.co/LH68BTlpHt",desirability
1353975785636438016,1353975785636438016,"The ocean absorbs most of the excess heat from greenhouse gas emissions, leading toÂ rising ocean temperatures.

https://t.co/8TxFhVAMav",enabling context
1353958661169680384,1353958661169680384,AND this is why #ClimateCrisis mattersâwe depend on our natural world. Stop buying plastic. Reduce your carbon footprint. Ocean warming/acidification will have massive effects. #COVID19 #Aplidin https://t.co/o0NXBY9Npa,enabling context
1353956745920475136,1353956745920475136,"Murakakudhin sessionð¤ð¾. 
The last session focused on investigating impacts to the reef. Following the Reef Check Protocol we learned how to identify coral bleaching, fish and snail predation marks and how to judge percentage of bleaching in corals.ð",buzz
1353929313347747842,1353929313347747840,"Another cyclone is brewing in N. QLD, further decreasing the risk of #coral bleaching in coming weeks. https://t.co/tTDQ3kugLQ",enabling context
1353923470988435457,1353923470988435456,"NOAAâs coral bleaching forecast for the #GreatBarrierReef is trending downwards. Compare 60% probability forecasts for mid-March, issued in December vs January. https://t.co/qomjooufeF",enabling context
1353882894310248448,1353882894310248448,ð¥³ I got selected as one of the Coral Bleaching RCN Early Career Training Program 2021 fellows ðð¾ð,buzz
1353827338799247362,1353827338799247360,"@SenTedCruz ""Radical climate apologists""? I would suggest you are a ""radical climate denier"".  Watch the hurricanes, massive wild fires, coral bleaching events, species extinctions, glacial retreats, etc....This planet sustains us all but it can't tolerate unlimited exploitation.",desirability
1353817185731432450,1353817185731432448,"Major discovery helps explain coral bleaching
https://t.co/u2WaNovKXk
remarkable feeding mechanism that involves a symbiotic relationship with single algae. These algae grow inside, the corals, using the coral tissue as shelter (such as water quality) stress the corals in a reef https://t.co/9bAWIjzAvc",enabling context
1353803252815564803,1353803252815564800,âScientists already knew that ocean warming is the main factor causing the symbiotic relationship to break down. But what RÃ¤decker's team discovered was that the coral is already in a stressed state and lacking nutrients even before the algae begin releasing toxic compounds...â https://t.co/bNwoxqaS5g,enabling context
1353787253198368775,1353787253198368768,"Coral reefs provide shelter to 25% of marine life. 

Threats from climate change and human presence could wipe out all coral reef ecosystems by 2050 â including Tubastraea floreana in the GalÃ¡pagos. https://t.co/UlTR6tK8l2 @Bertarelli_fdn https://t.co/oxn2iDYXra",desirability
1353785962594246658,1353785962594246656,"This is frightening. Time is up. 

Let's invest in learning more about this vast and vital ocean. 

From @afreedma. 
https://t.co/6BCmuDGMTf",invitation
1353784285006680064,1353784285006680064,"New publication alert! Michael Wood, @erignot, and others shed light on the relationship between ocean warming and glacier melting in Greenland. Check out the publication here: https://t.co/PT9oXkcitk https://t.co/UjVFPpmyhg",buzz
1353771914058149892,1353771914058149888,"Southern Ocean is warming quickly, threatening ice in Antarctica - The Washington Post https://t.co/H8ngQh3Yh9 Most world leaders still silent on #ClimateEmergency",desirability
1353752369754824704,1353752369754824704,I swear nothing can make me feel more guilty than watching a video about coral bleaching,desirability
1353738130097119236,1353738130097119232,"""In a warmer climate, extreme atmospheric rivers will become more intense as they become wetter, longer, and wider; there is some indication that this is already happening in association with observed Pacific Ocean warming."" (2019)

https://t.co/Ezn8Cld8bT https://t.co/6EtHW7tmIo",enabling context
1353736289636519937,1353736289636519936,More home learning projects on coral bleaching ð https://t.co/xEXUDicHrG,buzz
1353736184141373441,1353736184141373440,Just some of the work handed in by Year 5 today on Coral Bleaching and Antony Gormley! ðð https://t.co/u0YyTHjsQ5,buzz
1353730044732956674,1353730044732956672,"@NBCLX Why is an overpopulated world having less babies a bad idea? Every issue humanity has is caused by or exacerbated by overpopulation. Pollution, global warming, disease, climate change, housing shortage, ecological destruction, ocean warming, plant and animal extinctions, and on.",desirability
1353717828210348032,1353717828210348032,"CELC member aquarium, @TXStateAquarium, was one of 4 aquariums to partner with NOAA's @FGBNMS to support its recent expansion! The aquarium and this #GulfofMexico sanctuary work together on important #coral restoration projects. @marinesanctuary https://t.co/oFpRnlRMlQ",buzz
1353679120950046721,1353679120950046720,@BritainElects @DeltapollUK I've been a supporter of the Great Barrier Keith since the Cenozoic Era but even I have to admit that any other UN Heritage Site would be twenty points ahead of the worst coral bleaching in living memory. Time to go.,desirability
1353667378022920192,1353667378022920192,Effects of ocean warming and acidification on diatom silicateÂ formation https://t.co/DzlY0rfp1A,enabling context
1353665036091318272,1353665036091318272,"there is a greater potential for the waters of the Southern Ocean, which are absorbing vast quantities of added heat and carbon dioxide from the atmosphere as a result of human activities, may soon help destabilize parts of the Antarctic Ice Sheet.
https://t.co/utgSUrRHEf",desirability
1353651876949061633,1353651876949061632,"@guardian This is a chain-reaction caused by global ocean warming of which we we are litterally only seeing the ""tip of the iceberg"" right now as the cooling effect of melting polar ice predictably will decrease more and more (it's like a runaway train).",desirability
1353470366774157312,1353470366774157312,@taketwock Watching the movie Revolution. ð¯ agree  we  must  stop  fossil  fuels  now -we  have  dumped  1  quadrillion pounds  of  CO2  into  the  atmosphere with  no effort  to stop.  Coral  bleaching is a first  indicator that  a  massive  extinction will  follow .  Highly  recommend !,enabling context
1353447666261356549,1353447666261356544,Understanding how the Southern Ocean is changing as a result of increased greenhouse gas emissions has taken on greater urgency as scientists have learned more about the fragility of large parts of the Antarctic ice sheet. https://t.co/7DFXu5JKse,enabling context
1353412636105461760,1353412636105461760,"Our purpose is the democratization of coral restoration, aimed at long-term stakeholder engagement. Innovating to finance restoration is part of our essence, which has led us to establish alliances and work under a collaborative model
#CoralRestoration #generationrestoration https://t.co/hexw0NNUsR",buzz
1353409640076337152,1353409640076337152,"Layer of warming #water is rising from the subsurface, threatening to speed up #Antarcticice melt. #SouthernOcean absorbs huge quantities of #heat &amp; #carbondioxideâseas are #warming at 3-10X than estimated.
#ClimateEmergency #COVID19 #BuildBackBetter
https://t.co/z539CQIggw",desirability
1353383059891040258,1353383059891040256,"The vast ocean separating Australia &amp; Antarctica has the ability to absorb large amounts of heat causing CO2. But these southern waters are warming faster than we thought, threatening to speed up Antarctic ice melt.
Via @washingtonpost
https://t.co/SwHFBlGBi1",desirability
1353374594980311043,1353374594980311040,"@wlbeeton @ddasser @ClimateDepot 93% of global warming is ocean warming. 1% is atmospheric. Provide real-world evidence that CO2 increases over a water body causes the water to warm. 

Quantify the warming per ppm change. 

Cite the IPCC's observed evidence. https://t.co/DJdZENkLE2",enabling context
