,id,id_str,full_text,sentiment,url,directive,emotions
14,1355156770155614216,1355156770155614208,🐡 We're going on a special dive today with the Coral Restoration Foundation to learn how to conduct reef maintenance by transplanting corals from their nursery to out on the reefs.,,,,
15,1355153796721217536,1355153796721217536,American lobster postlarvae alter gene regulation in response to ocean warming and acidification https://t.co/VMyvBhc6eQ,,,,
16,1355141184021213192,1355141184021213184,even minecraft reefs aren’t safe from the threat of coral bleaching https://t.co/7p53Ror9Q5,,,,
17,1355118276444094466,1355118276444094464,"@ecogeog @martynsteiner &amp; we owe it to our children to separate atmospheric climate change, global warming (incl. ocean warming and associated sea level rise and acidification) from litter picking and plastic pollution. So pleased that so many are doing so much - even during these awful pandemic times.",,,,
18,1355100680671928321,1355100680671928320,"#CoralReefs need clean, clear 💧 to survive.

When sediment &amp; pollutants enter the 🌊 they -
 ⬆️  Growth of damaging algae
 ⬇️  Water quality
 ❌  #Coral growth

BUT restoring nearby #mangroves can help!

Read more 👇
https://t.co/Efow2vVBS0",,,,
19,1355086730689273856,1355086730689273856,"I would encourage people to visit the following website to learn more about the #GreatBarrierReef and the challenges faced by conservationists.

https://t.co/Hage91D6wE",,,,
20,1355082660335374342,1355082660335374336,"Shelly is 100% correct.

The ongoing problem of coral bleaching is something that is largely due, directly or indirectly, to human activity.

1/ https://t.co/I2aHeGfNnx",,,,
21,1355064566841962497,1355064566841962496,Wonderful to see cover of current  https://t.co/BC4JCtZoyT is cross-section of a sea anemone tentacle done by @CMCA_UWA. The ‘heat map’ shows nitrogen concentrations in all the microbes inhabiting the anemone - &amp; helps us understand coral bleaching @UWAresearch https://t.co/NVlkKZosUE,,,,
22,1355053049312653313,1355053049312653312,"(6/8)For example, ocean warming may exacerbate their effects in species with Mg-calcite shells, as Mg content generally increases with seawater temperature and thereby accelerates skeletal solubility.Our SO maps show this general pattern of increase of Mg toward lower latitudes. https://t.co/OtSfMjFLiB",,,,
23,1355036704290160643,1355036704290160640,"According to @Canstar , a reverse cycle air conditioner costs 60 cents an hour to run. While this might not seem like much, it can increase your power bill by up to $200 from just four hours a day of air conditioning. 

Read more with @QuestNewspapers 

https://t.co/QKaMPVpLv3 https://t.co/cIBsLoCJmZ",,,,
24,1355008939621036032,1355008939621036032,"We are UAQ-Reef!
Víctor Hugo Hernández Eliárraga
Co-founder

Víctor is a Ph.D. candidate at Autonomous University of Queretaro (UAQ, acronym in Spanish). He is interested in studying the coral bleaching phenomenon, which affects reef-forming cnidarians from the Hydrozoa class. https://t.co/HV8a8CMxTK",,,,
25,1354997696856166403,1354997696856166400,Major discovery helps explain coral bleaching -- ScienceDaily https://t.co/GJWqq0k6ii,,,,
26,1354994815834808328,1354994815834808320,Major discovery helps explain coral bleaching https://t.co/itqHNReiC2 https://t.co/LnUOgZt73m https://t.co/z4aP9OWAs4,,,,
27,1354993361678180359,1354993361678180352,"@KIVUNature @jimdtweet @DenglerJoachim @SConwaySmith @TWTThisIsNow @jgorman2424 @Gladfly1 @3GHtweets @Alexhanss @robhon_ @RushhourP @Voight_Kampff_3 @NikolovScience @BubbasRanch @JohnWSCarpente1 @Over400ppm @caerbannog666 @horrdorr @priscian @ladyspat1 @EthonRaptor @KCTaz @copilco1 @RogTallbloke @DawnTJ90 @stevenmosher @mrpjtay @BernardoVerda @MichaelEPerrone @claude_roumain @ron9gray @BobArmstrong @oakden_wolf @FriendsOScience @joedieseldodge @notGHGs @zwerfkat @TQMKA @serveBC @MLBinWA @No1Trump @eachus @Curmudgeon1836 @SantasTavern @SpurglyD @Setophaga9 @Dang83616 @SpaceX Alan: ""GHGs...don't heat the ocean""

So the 0.09°C of ocean warming between 1955-2010 was not caused by GHGs. This 0.09°C warming represents 93% of the heat energy change in the Earth system, or ""global warming"".

So why do you nonetheless believe humans DRIVE ocean heat changes? https://t.co/sPKQRcE5OR",,,,
28,1354984266216710146,1354984266216710144,"Get to know more about the latest Coral Restoration Foundation ad by IG_gswspeakpeople: Save Our Reefs, Save Ourselves https://t.co/2VesX13t2I",,,,
29,1354959700865986575,1354959700865986560,Real talk. Do something! https://t.co/WSXnNtY2Mb,,,,
30,1354957674589380610,1354957674589380608,"Southern Ocean waters are warming faster than thought, threatening Antarctic ice via @washingtonpost https://t.co/UAURYxo6LQ 

#marineconservation #climatechange #ocean",,,,
31,1354941653253939205,1354941653253939200,Major discovery helps explain coral bleaching https://t.co/vyt46Fcj5Y,,,,
32,1354930496401244161,1354930496401244160,"@lisk_feng @FlyingEyeBooks @ProfTerryHughes Terry, you're in the book! We featured your work surveying coral bleaching across the reef.",,,,
33,1354927424555933697,1354927424555933696,"@KIVUNature @DenglerJoachim @SConwaySmith @TWTThisIsNow @jgorman2424 @Gladfly1 @3GHtweets @Alexhanss @robhon_ @RushhourP @jimdtweet @Voight_Kampff_3 @NikolovScience @BubbasRanch @JohnWSCarpente1 @Over400ppm @caerbannog666 @horrdorr @priscian @ladyspat1 @EthonRaptor @KCTaz @copilco1 @RogTallbloke @DawnTJ90 @stevenmosher @mrpjtay @BernardoVerda @MichaelEPerrone @claude_roumain @ron9gray @BobArmstrong @oakden_wolf @FriendsOScience @joedieseldodge @notGHGs @zwerfkat @TQMKA @serveBC @MLBinWA @No1Trump @eachus @Curmudgeon1836 @SantasTavern @SpurglyD @Setophaga9 @Dang83616 @SpaceX You have no idea what surface air temps will be at 1245 ppm CO2. It's a modeled guess.

On the other hand, scientists say a CO2 value of 1,071 ppm only radiatively affects the ocean surface by 0.5 W/m².

93% of global warming is ocean warming. How does 0.5 W/m² DRIVE ocean heat? https://t.co/dkZSBxXpPg",,,,
34,1354897548595617802,1354897548595617792,"Washington Post: Southern Ocean waters are warming faster than thought, threatening Antarctic ice.
https://t.co/BZykdAzPic",,,,
35,1354886747902119938,1354886747902119936,"This is why ocean health is so important &gt;&gt; ""Almost all of the extra heat we gain because of greenhouse gases ultimately ends up in the oceans. In fact, the oceans absorb more than 90% of the excess heat."" https://t.co/IOuMzxdZ9E",,,,
36,1354875698373136385,1354875698373136384,"Octopus vulgaris the not so Common Octopus in Irish waters, few records to date. They have dramatically expanded their range northwards into the North Sea. I wouldn't be surprised if we will see more around Ireland with Ocean warming @BarnacleHunt @MarineInst https://t.co/kz5yvCcY8d",,,,
37,1354871522704277508,1354871522704277504,"@Cirebonpower_ @Mamit_Setiawan @dewanenergi @KementerianESDM Ocean warming will continue even if the global mean surface temperature can be stabilized at or below 2°C (target of Paris Agreement) in the 21st century, due to ocean’s long-term commitment. Therefore, both mitigation and adaption are both needed!! https://t.co/YvveSkHESO",,,,
38,1354869245612412930,1354869245612412928,"Whether it's mass coral bleaching &amp; rapidly intensifying typhoons that wreaked havoc on my home Saipan or the wildfires that burned +1M acres here in Oregon, climate change doesn't discriminate.

No running. Just &amp; equitable action is the only solution.

https://t.co/TTMMqz8PEA",,,,
39,1354851635902771201,1354851635902771200,"Took our students on a virtual field trip at Ripley's Aquarium! Had a great conversation about coral bleaching and protecting biodiversity
https://t.co/EnlGhxTWDM
@BHSS_Science @BillHogarthSS https://t.co/5lbKTCEZb5",,,,
40,1354846868841357312,1354846868841357312,"""Seychelles lost 90% of its coral reefs in 1998 not to overfishing but to coral bleaching, which is exacerbated by warming waters and climate change.""",,,,
41,1354840540836220930,1354840540836220928,"Mangroves counteract #oceanacidification in adjacent tropical waters, as well as filter pollutants, absorb excess #nutrients from runoff, and trap sediments – all of which are contributors to coral bleaching, mortality, and reef structure damage. #WetTribe #TidetotheOcean #Coral https://t.co/lNyU3IXwan",,,,
42,1354831310146035712,1354831310146035712,Research conducted at the DMC and @BigelowLab  by was recently published in Ecology and Evolution  https://t.co/ZergGORQD0,,,,
43,1354819157317980168,1354819157317980160,New Research: Impacts of Acclimation in Warm-Low pH Conditions on the Physiology of the Sea Urchin Heliocidaris erythrogramma and Carryover Effects for Juvenile Offspring: Ocean warming (OW) and acidification (OA) affects nearly all… https://t.co/Z6KZeDUvZr #MarineScience,,,,
44,1354817461397319684,1354817461397319680,Ocean temperatures rising can also impact coral reef fishes and tropical coral reefs. And is a contributing factor to coral bleaching which is caused by heatwaves.,,,,
45,1354816329182662656,1354816329182662656,seeing a bunch of local fishermen on Facebook frothing at the mouth defending the oil companies while their own livelihoods are being destroyed by ocean warming is maddening and disheartening. The future of the fishing industry depends on environmental protection.,,,,
46,1354814057044295686,1354814057044295680,Dear Humans: It's funny how you will bail out large companies to keep them alive yet you watch the coral bleaching event happen with heavy pockets.  @AOC @elonmusk Let the young inherit the earth.,,,,
47,1354806038516514819,1354806038516514816,"'Major discovery helps explain coral bleaching'
https://t.co/owbUuKC73Q via @ScienceDaily

'The process is triggered by warmer ocean temperatures ...'

#ClimateEmergency #NatureEmergency",,,,
48,1354799833958076416,1354799833958076416,Impacts of hypoxic events surpass those of future ocean warming and acidification https://t.co/727w4Q9FdG,,,,
49,1354799572590227457,1354799572590227456,"Coral restoration - NFL Green and partners  restoring a football field-sized coral reef in Florida. Force Blue special ops veterans and scientists doing the underwater planting
@VerizonGreen @Oikos @CastrolUSA @floridaaquarium @TampaBayLV @forceblueteam #nflgreen https://t.co/2zAuXa59v1",,,,
50,1354780917756289027,1354780917756289024,"Im not sure how I have managed to top my record of worst piece of academic work ever but I have, never thought id top my 2014 coursework of fixing coral bleaching in the great barrier reef by blowing up hundreds of boats off the coast of Australia",,,,
51,1354777496223428615,1354777496223428608,Major discovery helps explain coral bleaching https://t.co/j8RVPIf3kp,,,,
52,1354771227320217601,1354771227320217600,Major discovery helps explain coral bleaching https://t.co/CpYbci9Rwe via @EPFL_en #Swisstech #VDtech https://t.co/ZnWez5N6yh,,,,
53,1354727182069768194,1354727182069768192,Appalling interview with Laura Tingle and Will Stefan tonight. Hysteria doom and gloom. GBR just endured 3rd “massive coral bleaching event” which is nonsense. Just wished people were more responsible with the truth,,,,
54,1354709520795230208,1354709520795230208,"I am particularly looking for articles, interviews, sources and videos detailing:

• Global Warming
• Coral Bleaching
• Species Endangerment as a result of climate change
• Loss of biodiversity
• Info about greenhouse gases and their effects",,,,
55,1354705546268581894,1354705546268581888,Major discovery helps explain coral bleaching https://t.co/dNnxRNrz8N,,,,
56,1354623637836472320,1354623637836472320,North Brisbane’s night time temperatures continue to rise https://t.co/cIpRatKGe7,,,,
57,1354623634808205316,1354623634808205312,Sleepless nights in Logan: BOM data suggests warm nights are on the rise https://t.co/JjQpwJQ4ge,,,,
58,1354623631633088512,1354623631633088512,Moreton Bay experiences more warm January nights than anywhere else in Brisbane https://t.co/9xzR3dFnai,,,,
59,1354623626553815040,1354623626553815040,Rising temperatures could affect your household budget in the years to come https://t.co/IGDjQrc4Zp,,,,
60,1354623624188203011,1354623624188203008,South Brisbane’s summer climate continue to increase in temperature over time https://t.co/R9iLe3wIN4,,,,
61,1354623621419962369,1354623621419962368,South Brisbane’s summer climate continues to increase in temperature over time https://t.co/GhbEaoUvMk,,,,
62,1354623617917718529,1354623617917718528,South Brisbane’s summer climate continues to increase in temperature over time https://t.co/QrpnHUNdLH,,,,
63,1354623614549680128,1354623614549680128,North Brisbane’s night time temperatures continue to rise https://t.co/WLGkWBYXXY,,,,
64,1354619040673763331,1354619040673763328,"@taddow77 @atrupar Hurricanes grow in strength by absorbing heat from the ocean. By reducing our greenhouse gas emissions and slowing or maybe reversing ocean warming, yes, we will be paying for future hurricanes to stay out at sea.",,,,
65,1354596816256462848,1354596816256462848,Sea otters are beginning to die in large numbers off the West Coast of the United States. The cause is an unusual form of poisoning connected with global heating of the oceans. https://t.co/5FLVMmdYKl https://t.co/7adSRwCFer,,,,
66,1354589257021710339,1354589257021710336,"The greatest quantities of ice lost were from floating sea ice, which is creating a positive feedback loop of increased ocean warming and further ice loss.
https://t.co/7yTMdhzhkF",,,,
67,1354567150476947456,1354567150476947456,"Hi. Climate Writer here. GAMESTOP stock shot up because of a positive feedback loop. Positive feedback loops make climate change really dangerous. Today, Traders covering short positions created buy side demand. Tmmrw, a lack of reflective artic sea ice increases ocean warming.",,,,
68,1354556395878670339,1354556395878670336,"@KHayhoe @AndrewDessler Moreover, if the early Holocene warming was initially a seasonal, not global, phenomenon, doesn't that further complicate Ruddiman's necessary argument that ocean warming feedbacks must have contributed a large part of the additional GHG needed?",,,,
69,1354550877919473664,1354550877919473664,"Major discovery reshapes our understanding of coral bleaching in @PNASNews https://t.co/Ux1amCqYnc 
Great work from Nils Rädecker @reefgenomics @CloudyPogoreutz @hi_hagen @ajcardenasb @uts_c3 and others",,,,
70,1354534578849898508,1354534578849898496,Major discovery helps explain how warming water leads to coral bleaching https://t.co/ltnBpwVQFr,,,,
71,1354522866243543041,1354522866243543040,"@hausfath @Oliver_Geden @ClimateEnvoy Given the summit topic, might it be ocean warming only?",,,,
72,1354522535677878272,1354522535677878272,Neoteric marine biology research reveals further insights into why coral bleaching occurs: chemical disturbance derives from the metabolic equilibrium between corals &amp; their symbiotic algae (absorb CO2  from corals &amp; provide nutrients for photosynthesis) which induce colouring https://t.co/4DM21b91DV,,,,
73,1354521173313216512,1354521173313216512,"Tomorrow, our @rescueareef team is going to lead a coral restoration expedition to transplant 55 elkhorn corals, a threatened species, onto a local reef as part of our ""100 Yards of Hope"" @NFLGreen project and in recognition of Super Bowl 55 in @TampaBayLV 🏈

Life is wild 🤯",,,,
74,1354512633638973441,1354512633638973440,Major discovery helps explain coral bleaching https://t.co/1IB0htJgwq,,,,
75,1354509576259969027,1354509576259969024,Jenna presents on coral bleaching at the SNHS meeting today. https://t.co/oColaUdQ8z,,,,
76,1354505037184176131,1354505037184176128,"Did you know? These emissions cause ocean warming, acidification and oxygen loss. Ocean heat is higher than ever, with 90% of excess heat from the climate absorbed into the water. Source: https://t.co/3nahkH6BxH
.
#GoGreen #GoSolar #SaveThePlanet #CleanWater #SaveTheOceans https://t.co/eoIs8eVFBy",,,,
77,1354504632425472014,1354504632425472000,"@SharkGuardian1 @SharkprojectD @isabeljarrett 
Too sad.
With ocean warming some sharks mature/incubate slower 
Sharks survived 400m years and in a nanosecond of world clock) we wipe them out. Even knowing this finning, shark fishing still permitted. We have to stop this NOW! 🦈 https://t.co/hiqwKXoTGu",,,,
78,1354503601742200832,1354503601742200832,"@CubaRaglanGuy South China Sea

SCS max temps 3.5°C warmer ~5000 yrs ago

· Warmer mid-Holocene ""optimum coral growth period""

Temps were colder ~3500-4500 yrs ago, ""but there were numerous coral bleaching episodes""

·""coral bleaching...repeatedly occurred"" mid-Holocene

https://t.co/aIR1kM0ziH https://t.co/mR7YfQy0f4",,,,
79,1354502372261818370,1354502372261818368,"Major discovery helps explain coral bleaching,https://t.co/VDB6LAIXu4",,,,
80,1354499754928041988,1354499754928041984,Major discovery helps explain coral bleaching: https://t.co/oXIxDs3fTb,,,,
81,1354495518702002178,1354495518702002176,Major discovery helps explain coral bleaching https://t.co/VzVUNLRDfl,,,,
82,1354495516537712641,1354495516537712640,Major discovery helps explain coral bleaching https://t.co/PwhsoO0Kb6,,,,
83,1354483844112666628,1354483844112666624,#Climate #News: Major discovery helps explain coral bleaching https://t.co/sEbwJxs3Q7,,,,
84,1354474642388357120,1354474642388357120,Major discovery helps explain coral bleaching https://t.co/1YIVvq1eE5 https://t.co/f0RrBIDvfZ,,,,
85,1354463706394976259,1354463706394976256,Headline: Major discovery helps explain coral bleaching https://t.co/pbA7eIgwuc https://t.co/ETcswqk3en,,,,
86,1354463372197187587,1354463372197187584,"An @EPFL_en scientist has made a major breakthrough in the understanding of #coral #bleaching. “We showed for the first time that the coral starts to suffer from hunger long before the algae are expelled."" An article published in @PNASNews.
https://t.co/a8t7YTbBlc",,,,
87,1354462943786754057,1354462943786754048,"Ocean warming affects marine species, ecosystems and the benefits humans derive from it. 

Our Issues Brief explains what we can do to protect our #ocean https://t.co/lrjHjQoIPd @IucnOcean https://t.co/PlePRizjsa",,,,
88,1354456792382771205,1354456792382771200,"Ocean Warming and the Reefs of Palau on JSTOR
https://t.co/vGjW3m8afk",,,,
89,1354449082228604932,1354449082228604928,"""The latest research showed that oceans hit their highest recorded temperatures, a record that keeps getting broken year after year."" 💔💔

But...why are the oceans so important?  
https://t.co/5pbFyIulqI

#ocean #globalwarming #risingtemperatures",,,,
90,1354446313832599556,1354446313832599552,Learn more about the @UNEP and ICRI report: Coral Reef Restoration as a Strategy to Improve Ecosystem Services: A Guide to Coral Restoration Methods. ▶️Recording here: https://t.co/mHiem72xQE #reefresilience #generationrestoration #restoration #coral https://t.co/PQtGWmC9P5,,,,
91,1354436620586541056,1354436620586541056,"A reminder that climate change is not happening in some far-off land or distant future: it's happening close to home, and now. 

The implications of ocean warming on marine ecosystems, and by extension the fisheries that depend on them, are significant.
https://t.co/ENrpplrm4l",,,,
92,1354435191801081860,1354435191801081856,"The rise in sea surface temperatures is causing more severe hurricanes &amp; the intensification of El Niño events bringing droughts and floods.
https://t.co/8TxFhVAMav

This already is having significant socio-economic &amp; health effects in some regions of the world. 
#OceanWarmingNow",,,,
93,1354429768133992450,1354429768133992448,"@TravisIanPater2 @gmbutts Except that the predictions ARE happening. Ice melt is worse than projections. Ocean warming is right on track. Yes, science has no narrative, but your beliefs and your dismissal of science sure does. Open your mind. Look at the actual evidence.",,,,
94,1354383651404824579,1354383651404824576,The #coral nurseries in #Bonaire as part of a coral restoration programme. This is 6 months of progress! We can't wait to see how much they've grown since 😊💙 https://t.co/qU9v3xPwlt,,,,
95,1354371285418209281,1354371285418209280,"A major breakthrough in the understanding of #CoralBleaching shows that it begins much earlier than previously thought, apparently resulting from a disturbance in the metabolic equilibrium between corals and their symbiotic algae. #GlobalWarming #Corals https://t.co/G605ZHMazN",,,,
96,1354361237140869120,1354361237140869120,"🚨New #OpenAccess paper in @PNASNews on how 

“Heat stress destabilizes symbiotic nutrient cycling in corals”

by amazing Nils Rädecker! 

Follow the thread by our co-author @hi_hagen for an excellent summary. Full paper: https://t.co/JhrSpDNAuA

#coral #bleaching #climatechange https://t.co/i9tzjNfKec",,,,
97,1354358820169019393,1354358820169019392,"@ouellette_gavin @rae_don @IBergwiesel @TyotoRiffle @AgainLaughing @RustyAway @sueytonius @RoyPentland @d_e_mol @giveusafairgo @Fauntleroy1934 @Barbarajdurkin @BlenderMessiah @Dardedar @no2wind @0Sundance @MedBennett @thinks_about_it @ReckedRik @jimdtweet @BubbasRanch @Narvuntien @Climatehope2 @riktheozfrog @Bananenrijperij @RijpeW @MikeDel21893959 @Skrued1 @StormSignalSA @cjtjgeol @DigDougFTW @bluestflame1 @Biggieol6 @HalleVerkehrt @JohnSmi50968113 @AJamesW2 @ttyEngland @PaprikaLady @Jamz129 @drewman_drew @BridgetHolmstro @Over400ppm @Tutkija5 @TQMKA @ShhSami @EcoSenseNow @SlugBub @GavinKreijkes @DawnTJ90 @austbondlover Nope, Oceans are warming but there is so much additional Co2 in the atmosphere that the Ocean is still a net Carbon sink of CO2 hence the pH drop. Ocean warming: https://t.co/dX887hLJEs",,,,
98,1354358678095331329,1354358678095331328,"@hausfath This is over three times the average ocean warming since the 1960's (1.24 vs 0.38 W/m²). 

Do you think the 77% reduction in SOx emissions from shipping from 2020 could be causing further warming? Could available data be used for assessment? https://t.co/dIWA3u25cx",,,,
99,1354354285958418436,1354354285958418432,"@HearGene @7NewsMackay Absolutely! 

However, it is the same University that sacked Peter Ridd for pointing out Coral Bleaching scenarios were wanting. 

But apparently it's ok to dump fish in hot water. 

https://t.co/aqYmM8qpf7",,,,
100,1354343568853200896,1354343568853200896,Major discovery helps explain coral bleaching https://t.co/tKeLD8Na9D via @EPFL_en @EurekAlert,,,,
101,1354321574225195008,1354321574225195008,"New #openaccess #publication on #coral #bleaching 

 #heatstress  #marine #HeatWaves #coralbleaching #marineheatwaves #nutrients #symbiosis #cycling  #GlobalWarming #nutrientcycling #marinescience 
@CloudyPogoreutz @hi_hagen @Florian_Roth_ @reefgenomics https://t.co/yIebq6Peia",,,,
102,1354300719948419076,1354300719948419072,"Read about the devastating impacts of warming oceans on diatoms here. 

https://t.co/sbHaxwGzWI

Stay tuned to see how to reduce ocean warming and acidification to help protect diatoms and the fragile ocean food chain. Stay Positive!",,,,
103,1354277016363786246,1354277016363786240,"@larry79115 @Juzwik @Liberat67627787 @snaglet @KrVaSt @ClimVari @Tav_assoli @ClimateBen @MichaelBringsli @RealGeoEngWatch @iconickevin @GeraldKutney @JunagarhMedia @jim27182 @PaulEDawson @chrislibertynow @chriscartw83 @NumberLens

Great thread: study conducted of ocean warming. https://t.co/F46qfalZRm",,,,
104,1354274952560529412,1354274952560529408,Major discovery helps explain coral bleaching https://t.co/9IfUhzcO8D via @physorg_com,,,,
105,1354259856782356481,1354259856782356480,"Coral bleaching - ""The roots of the problem are much deeper than we thought, and they involve an early breakdown of the metabolic exchanges in these fascinating organisms""

https://t.co/elw36Dd2Gt via @physorg_com",,,,
106,1354223596080492547,1354223596080492544,"🥵 Almost all of the extra heat we gain because of greenhouse gases ultimately ends up in the #oceans. In fact, the oceans absorb more than 90% of the excess heat. 

If you want to understand #GlobalWarming, you have to measure ocean warming.

https://t.co/WhiyyOzI0p",,,,
107,1354206343171874818,1354206343171874816,"Grade 2 unpacked our new unit on oceans by making their thinking visible.  They responded to some thought-provoking images about shark finning, bycatch &amp; coral bleaching.  #cisinspires #visiblethinkingroutines #jigsawing https://t.co/wtri1DLpto",,,,
108,1354197662980055040,1354197662980055040,Update and imagines from our coral restoration expedition last week as part of our @RestorationHub project 👇 https://t.co/Xg4WtFLHJ9,,,,
109,1354189048655572993,1354189048655572992,"A new study on #coral #bleaching: ""Heat stress destabilizes symbiotic nutrient cycling in corals"" - Nils Rädecker et al. 2021

&gt;The breakdown of a metabolic exchange&lt;
#CoralReef #bleaching #nutrients #Balance #HeatWaves #ClimateCrisis #climatechange 

---&gt; https://t.co/xH0WYnLeWD https://t.co/HYrua1Ik72",,,,
110,1354185600551641089,1354185600551641088,"The #SouthernOcean is warming faster than thought!

https://t.co/4vycBlNP2Q",,,,
111,1354161543928303619,1354161543928303616,"https://t.co/mj0YaJjR6O
compounded by water becoming a commodity to trade financially we need to rethink our priorities",,,,
112,1354152814633746433,1354152814633746432,"@Edward43039815 @J_J_98_ @wef Obviously based on that NOAA nonsense 

8.6 pH &amp; you probably all talked about acid coral bleaching

I'd ask for your money back

I have made a living from understanding pH buffering for 30 years, even used Carbonic acid to adjust pH but hey ho what do I know

All the best to you",,,,
113,1354151206898327552,1354151206898327552,"Washington Post: Southern Ocean waters are warming faster than thought, threatening Antarctic ice.
https://t.co/thorB4aqZZ
If I read the article on climatic changes correctly,a time line,2027?
Would just have to wait and see,but ice- capped regions suppose to change.",,,,
114,1354150781679616000,1354150781679616000,Ocean acidification can lead to coral bleaching witch also causes lots of our sea life who lives in coral to slowly die off https://t.co/HrNOpKmIpJ,,,,
